2014-18-08 22:00:00;126'090;126'190;126'065;126'080
2014-19-08 22:00:00;126'080;126'095;125'255;125'290
2014-20-08 22:00:00;125'295;126'040;125'250;125'310
2014-21-08 22:00:00;126'000;126'075;125'195;125'285
2014-24-08 22:00:00;125'270;126'025;125'260;126'000
2014-25-08 22:00:00;125'315;126'065;125'300;125'310
2014-26-08 22:00:00;126'000;126'100;125'310;126'075
2014-27-08 22:00:00;126'080;126'185;126'075;126'120
2014-28-08 22:00:00;125'265;125'290;125'215;125'245
2014-31-08 22:00:00;125'240;125'245;125'200;125'220
2014-01-09 22:00:00;125'225;125'230;125'065;125'070
2014-02-09 22:00:00;125'080;125'110;124'245;125'110
2014-03-09 22:00:00;125'105;125'175;124'280;124'310
2014-04-09 22:00:00;124'315;125'215;124'260;125'010
2014-07-09 22:00:00;125'020;125'120;124'275;124'285
2014-08-09 22:00:00;124'275;124'295;124'185;124'200
2014-09-09 22:00:00;124'200;124'230;124'120;124'130
2014-10-09 22:00:00;124'135;124'225;124'105;124'125
2014-11-09 22:00:00;124'130;124'145;123'305;123'315
2014-14-09 22:00:00;124'015;124'080;123'295;124'060
2014-15-09 22:00:00;124'050;124'145;124'040;124'060
2014-16-09 22:00:00;124'065;124'200;123'260;123'265
2014-17-09 22:00:00;123'255;123'305;123'180;123'260
2014-18-09 22:00:00;123'255;124'030;123'160;124'020
2014-21-09 22:00:00;124'010;124'125;124'010;124'090
2014-22-09 22:00:00;124'085;124'190;124'080;124'190
2014-23-09 22:00:00;124'180;124'190;124'080;124'090
2014-24-09 22:00:00;124'090;124'270;124'085;124'265
2014-25-09 22:00:00;124'250;124'295;124'110;124'165
2014-28-09 22:00:00;124'160;124'280;124'125;124'280
2014-29-09 22:00:00;124'270;124'275;124'160;124'260
2014-30-09 22:00:00;124'255;125'210;124'220;125'200
2014-01-10 22:00:00;125'200;125'230;125'085;125'125
2014-02-10 22:00:00;125'125;125'130;124'260;125'075
2014-05-10 22:00:00;125'060;125'185;125'035;125'135
2014-06-10 22:00:00;125'145;126'040;125'115;126'025
2014-07-10 22:00:00;126'020;126'200;125'255;126'160
2014-08-10 22:00:00;126'145;126'285;126'110;126'170
2014-09-10 22:00:00;126'165;126'250;126'070;126'245
2014-12-10 22:00:00;126'245;127'125;126'225;127'120
2014-13-10 22:00:00;127'110;127'235;127'000;127'165
2014-14-10 22:00:00;127'160;130'170;127'075;128'070
2014-15-10 22:00:00;128'075;129'180;127'250;127'315
2014-16-10 22:00:00;127'315;128'105;127'140;127'220
2014-19-10 22:00:00;127'200;127'310;127'125;127'235
2014-20-10 22:00:00;127'235;128'085;127'140;127'160
2014-21-10 22:00:00;127'170;127'280;127'075;127'170
2014-22-10 22:00:00;127'175;127'220;126'260;127'010
2014-23-10 22:00:00;127'020;127'145;127'000;127'010
2014-26-10 22:00:00;126'310;127'080;126'255;127'030
2014-27-10 22:00:00;127'030;127'070;126'260;126'265
2014-28-10 22:00:00;126'285;127'005;126'060;126'160
2014-29-10 22:00:00;126'175;126'245;126'100;126'195
2014-30-10 22:00:00;126'200;126'235;126'065;126'120
2014-02-11 23:00:00;126'135;126'200;125'305;126'095
2014-03-11 23:00:00;126'100;126'200;126'070;126'115
