,Instrument,Ticker,Date,% change,open,high,low,close
2358,Nasdaq 100,NQ,2022-02-03,-0.8463100880162528,14770.0,14825.75,14362.75,14645.0
2359,Nasdaq 100,NQ,2022-02-06,-0.5499744593904268,14682.5,14806.25,14511.5,14601.75
2360,Nasdaq 100,NQ,2022-02-07,0.9982876712328732,14600.0,14776.0,14467.5,14745.75
2361,Nasdaq 100,NQ,2022-02-08,2.0734084936848376,14746.25,15068.0,14741.0,15052.0
2362,Nasdaq 100,NQ,2022-02-09,-2.4348951849823237,15062.25,15062.25,14622.0,14695.5
2363,Nasdaq 100,NQ,2022-02-10,-3.0037589508955165,14698.25,14766.75,14181.0,14256.75
2364,Nasdaq 100,NQ,2022-02-13,0.07543859649122453,14250.0,14394.0,14031.0,14260.75
2365,Nasdaq 100,NQ,2022-02-14,2.2778284351546603,14257.0,14614.75,14223.25,14581.75
2366,Nasdaq 100,NQ,2022-02-15,0.030847271730195303,14588.0,14668.5,14381.0,14592.5
2367,Nasdaq 100,NQ,2022-02-16,-2.9844609296030455,14592.25,14619.5,14131.5,14156.75
2368,Nasdaq 100,NQ,2022-02-17,-1.147902869757175,14156.25,14299.0,13906.25,13993.75
2369,Nasdaq 100,NQ,2022-02-20,-1.5570407267384496,13952.75,14157.5,13716.25,13735.5
2370,Nasdaq 100,NQ,2022-02-21,1.7562134502923925,13680.0,14108.25,13580.25,13920.25
2371,Nasdaq 100,NQ,2022-02-22,-3.164431999712818,13928.25,14068.75,13471.25,13487.5
2372,Nasdaq 100,NQ,2022-02-23,3.164803381723118,13484.25,13983.25,13025.75,13911.0
2373,Nasdaq 100,NQ,2022-02-24,2.000431359861963,13909.5,14196.25,13760.25,14187.75
2374,Nasdaq 100,NQ,2022-02-27,2.2859301091706925,13900.25,14292.25,13683.0,14218.0
2375,Nasdaq 100,NQ,2022-02-28,-1.3414912882184353,14219.25,14327.75,13900.0,14028.5
2376,Nasdaq 100,NQ,2022-03-01,1.215577934230467,14026.25,14290.0,13911.5,14196.75
2377,Nasdaq 100,NQ,2022-03-02,-0.9720705807769576,14196.5,14391.0,13955.0,14058.5
2378,Nasdaq 100,NQ,2022-03-03,-1.9226326918634555,14069.25,14086.5,13733.75,13798.75
2379,Nasdaq 100,NQ,2022-03-06,-3.5855705307516246,13763.5,13879.75,13265.0,13270.0
2380,Nasdaq 100,NQ,2022-03-07,-0.628623052021382,13283.0,13666.0,13103.25,13199.5
2381,Nasdaq 100,NQ,2022-03-08,4.409786048627041,13192.25,13821.75,13189.75,13774.0
2382,Nasdaq 100,NQ,2022-03-09,-1.4915082014806273,13778.0,13778.0,13396.25,13572.5
2383,Nasdaq 100,NQ,2022-03-10,-2.0291296101935217,13577.25,13860.75,13281.75,13301.75
2384,Nasdaq 100,NQ,2022-03-13,-1.9179571787468603,13334.5,13441.5,13015.5,13078.75
2385,Nasdaq 100,NQ,2022-03-14,2.7810696127527876,13079.5,13486.5,12942.5,13443.25
2386,Nasdaq 100,NQ,2022-03-15,4.122273665420877,13445.25,14025.75,13417.25,13999.5
2387,Nasdaq 100,NQ,2022-03-16,0.45207633478665343,13991.0,14132.5,13819.0,14054.25
2388,Nasdaq 100,NQ,2022-03-17,2.6926565529016244,14056.75,14442.75,13966.5,14435.25
2389,Nasdaq 100,NQ,2022-03-20,-0.0642182727020213,14404.0,14466.75,14183.75,14394.75
2390,Nasdaq 100,NQ,2022-03-21,1.83808200138985,14390.0,14690.75,14293.5,14654.5
2391,Nasdaq 100,NQ,2022-03-22,-1.2982803330148727,14654.0,14682.25,14441.0,14463.75
2392,Nasdaq 100,NQ,2022-03-23,2.076022886380528,14462.75,14769.75,14433.5,14763.0
2393,Nasdaq 100,NQ,2022-03-24,-0.08465966813409409,14765.0,14840.5,14572.5,14752.5
2394,Nasdaq 100,NQ,2022-03-27,1.5248034697750086,14756.0,14997.0,14658.75,14981.0
2395,Nasdaq 100,NQ,2022-03-28,1.623723382951738,14981.0,15268.75,14956.5,15224.25
2396,Nasdaq 100,NQ,2022-03-29,-0.768624359479702,15222.0,15262.25,15012.25,15105.0
2397,Nasdaq 100,NQ,2022-03-30,-1.2135359756299522,15100.5,15180.75,14855.5,14917.25
2398,Nasdaq 100,NQ,2022-03-31,-0.445747800586517,14918.75,14960.0,14725.0,14852.25
2399,Nasdaq 100,NQ,2022-04-03,2.1116799137814866,14846.0,15174.5,14801.0,15159.5
2400,Nasdaq 100,NQ,2022-04-04,-1.93988980898024,15155.5,15198.0,14780.25,14861.5
2401,Nasdaq 100,NQ,2022-04-05,-2.456093129668261,14861.0,14861.25,14394.75,14496.0
2402,Nasdaq 100,NQ,2022-04-06,0.2604121755626494,14496.25,14633.75,14317.0,14534.0
2403,Nasdaq 100,NQ,2022-04-07,-1.432625333218681,14536.25,14642.25,14310.5,14328.0
2404,Nasdaq 100,NQ,2022-04-10,-2.3806204252352785,14345.0,14382.0,13984.75,14003.5
2405,Nasdaq 100,NQ,2022-04-11,-0.37661758143686086,14006.25,14284.25,13881.25,13953.5
2406,Nasdaq 100,NQ,2022-04-12,1.8598484169787355,13952.75,14266.5,13921.0,14212.25
2407,Nasdaq 100,NQ,2022-04-13,-2.246420152693247,14211.5,14296.25,13876.5,13892.25
2408,Nasdaq 100,NQ,2022-04-17,0.5254822919665969,13892.0,14002.5,13729.5,13965.0
2409,Nasdaq 100,NQ,2022-04-18,0.9525344219441081,13962.75,14242.0,13828.0,14095.75
2410,Nasdaq 100,NQ,2022-04-19,-0.24637090341906287,14104.75,14298.0,13956.5,14070.0
2411,Nasdaq 100,NQ,2022-04-20,-2.5195451314854296,14070.0,14283.0,13667.5,13715.5
2412,Nasdaq 100,NQ,2022-04-21,-2.9482507288629733,13720.0,13781.0,13297.0,13315.5
2413,Nasdaq 100,NQ,2022-04-24,1.453025104524059,13334.25,13549.75,13184.0,13528.0
2414,Nasdaq 100,NQ,2022-04-25,-5.235331090324252,13523.5,13583.75,12801.5,12815.5
2415,Nasdaq 100,NQ,2022-04-26,2.231969567580151,12881.0,13255.25,12878.25,13168.5
2416,Nasdaq 100,NQ,2022-04-27,0.8869683875369532,13191.0,13542.0,13033.0,13308.0
2417,Nasdaq 100,NQ,2022-04-28,-2.488747683346574,13219.5,13433.0,12831.75,12890.5
2418,Nasdaq 100,NQ,2022-05-01,1.2332990750256982,12892.25,13084.5,12709.75,13051.25
2419,Nasdaq 100,NQ,2022-05-02,0.5305801903959235,13051.75,13183.75,12968.5,13121.0
2420,Nasdaq 100,NQ,2022-05-03,2.856108528313385,13121.0,13555.25,12883.0,13495.75
2421,Nasdaq 100,NQ,2022-05-04,-4.468435769707966,13500.25,13548.0,12705.25,12897.0
2422,Nasdaq 100,NQ,2022-05-05,-1.70570314167621,12883.25,12928.75,12519.0,12663.5
2423,Nasdaq 100,NQ,2022-05-08,-3.1693772312574424,12605.0,12637.25,12135.25,12205.5
2424,Nasdaq 100,NQ,2022-05-09,1.0507127642143246,12206.0,12547.0,12102.25,12334.25
2425,Nasdaq 100,NQ,2022-05-10,0.06894454020074647,12328.75,12366.25,12324.0,12337.25
2426,Nasdaq 100,NQ,2022-05-11,-1.0933399975009337,12004.5,12132.75,11689.0,11873.25
2427,Nasdaq 100,NQ,2022-05-12,3.973426397006264,11891.5,12432.0,11891.5,12364.0
2428,Nasdaq 100,NQ,2022-05-15,-1.3881054073656287,12409.0,12498.75,12190.25,12236.75
2429,Nasdaq 100,NQ,2022-05-16,2.764496751256587,12235.5,12578.0,12234.0,12573.75
2430,Nasdaq 100,NQ,2022-05-17,-5.40486796054725,12572.0,12594.0,11862.75,11892.5
2431,Nasdaq 100,NQ,2022-05-18,-0.07348618459730005,11907.0,12076.75,11704.0,11898.25
2432,Nasdaq 100,NQ,2022-05-19,-0.5042864346949045,11898.0,12096.75,11491.25,11838.0
2433,Nasdaq 100,NQ,2022-05-22,1.601213551323113,11866.0,12075.5,11783.75,12056.0
2434,Nasdaq 100,NQ,2022-05-23,-0.8749475451111977,11915.0,11918.0,11576.25,11810.75
2435,Nasdaq 100,NQ,2022-05-24,0.7219681571815784,11808.0,12036.0,11672.0,11893.25
2436,Nasdaq 100,NQ,2022-05-25,3.1167192429022066,11887.5,12343.0,11848.25,12258.0
2437,Nasdaq 100,NQ,2022-05-26,3.816326530612244,12250.0,12720.25,12222.0,12717.5
2438,Nasdaq 100,NQ,2022-05-29,0.8244623285649624,12705.25,12883.0,12672.75,12810.0
